event_name,description,audience,cycle,website,email,country,date_uncertain,date,duration_days,venue_id
FAIRGROUNDS SOUTHERN IDEAL HOME SHOW (FALL) 2024,"Raleigh, NC Home Show. Innovative Products and Hundreds of Experts all Under One Roof",Public,once a year,http://raleighfairgroundshomeshow.com/,rosannah@marketplaceevents.com,USA,True,2024-09-01,1,725
FESTIVAL INTERNATIONAL DE LA POÉSIE DE TROIS-RIVIÈRES 2024,Poetry international Festival,Public,once a year,http://www.fiptr.com/,mbaribeau@fiptr.com,Canada,True,2024-09-01,1,1195
HIS - HEALTHCARE INNOVATION SHOW 2024,HIS - Healthcare Innovation Show is the major exhibition for technologies and innovations in the healthcare industry in Brazil and Latin America,Public,once a year,http://his.saudebusiness.com/pt/home.html,visitante.his@informamarkets.com.br,Brazil,True,2024-09-01,1,440
GOODGUYS LONE STAR NATIONALS FORT WORTH 2024,"Finest Car Fair in Texas. GOODGUYS LONE STAR NATIONALS FORT WORTH features attractive hot rods, muscle automobiles, classic vehicles, vintage models, trucks, Tools & kits, Street machines, automotive, used cars, customized personal vehicles",Public,once a year,http://www.good-guys.com/,,USA,True,2024-09-01,1,914
GOODGUYS COLORADO NATIONALS 2024,"Finest Car Fair in Loveland. GOODGUYS COLORADO NATIONALSfeatures attractive hot rods, muscle automobiles, classic vehicles, vintage models, trucks, Tools & kits, Street machines, automotive, used cars, customized personal vehicles",Public,once a year,http://www.good-guys.com/,,USA,True,2024-09-01,1,831
EL GRAN SALÓN FERRETERO 2024,"GRAN SALON FERRETERO is the great Colombian hardware fair, which aims to create an ideal networking and sales environment for distributors, hardware stores, suppliers, entrepreneurs, brands...",Public,once a year,http://www.gransalonferretero.com/,info@corferias.com,Colombia,True,2024-09-01,1,424
EXPO CAFÉ 2024,The most important coffee trade show in Mexico,Public,once a year,http://www.expocafe.com.mx/,info@expocafe.mx,Mexico,True,2024-09-01,1,1071
NAIAS DETROIT - NORTH AMERICAN INTERNATIONAL AUTO SHOW 2024,"Auto Show in North America. NAIAS attracts hundreds of thousands of visitors, including many environmental and automotive visionaries, who explore hundreds of production vehicles, Luxury & concept cars, electic & hybrid vehicules",Public,once a year,http://www.naias.com/,,USA,True,2024-09-01,1,1196
EXPO RESTAURANTES 2024,Mexican Trade Fair for Hotels and Restaurants,Public,once a year,http://www.exporestaurantes.mx/,claudia.valdes@ejkrausetarsus.mx,Mexico,True,2024-09-01,1,1071
INDUSTRIAL AUTOMATION NORTH AMERICA 2024,International Industrial Automation show,Public,every 2 years,http://ia-northamerica.com/,iana@hfusa.com,USA,True,2024-09-01,1,497
STORM EXPO USA - CALIFORNIA 2024,"The Storm Expo USA is the leading hurricane and storm prep, management, and recovery event, showcasing the latest tools, strategies, and insights among investment and global industry leaders",Public,once a year,http://www.thestormexpo.com/,inquiries.ndem@fortem-international.com,USA,True,2024-09-01,1,803
FERIA DEL HOGAR 2024,"Home Fair. Furniture, kitchenware, clothing, lingerie, leather and footwear, household appliances, technology and safety, hardware, design, decoration...",Public,once a year,http://feriadelhogar.com/,info@corferias.com,Colombia,True,2024-09-01,1,424
FERIA INTERNACIONAL DE BOGOTA 2024,Bogota International Industrial Fair,Public,every 2 years,http://www.feriainternacional.com/,info@corferias.com,Colombia,True,2024-09-01,1,424
FREDERICKSBURG PET SHOW 2024,"Pet Show. Fredericksburg Pet Show is a family-fun event bringing together pet owners, lovers and enthusiasts with vendors that represent all aspects of the pet world such as manufacturers, retailers, breeders, hobbyists, clubs, veterinarians",Public,once a year,http://www.bmgevents.com/,bmcloughlin@bmg1.com,USA,True,2024-09-01,1,688
FLORIDA GUN & KNIFE SHOW DELAND 2023,"Arms & Ammunition fair. FLORIDA GUN & KNIFE SHOW IN DELAND presents all types of firearms, combat knives & swords, fishing gears, antique pistols, cartridges, hunting accessories, gun cases & safes, collectibles, self protection weapons and permit course",Public,unknown,http://flgunshows.com/shows,email@flgunshows.com,USA,False,2023-12-02,2,697
KNOXVILLE GUN SHOW EXPO CENTER 2023,"Guns & knife show. KNOXVILLE GUN SHOW features shooting rifles, antique swords & knives, handguns, shotguns, collectible firearm, personal defense weapons, military surplus, fishing & hunting accessories, survival gears, gun cases and safe, holsters",Public,unknown,http://rkshows.com/events/category/tennessee,rkshows@yousq.net,USA,False,2023-12-02,2,698
PERFORMANCE RACING INDUSTRY SHOW 2023,Trade Show for Hardcore Auto Racing Products. PERFORMANCE RACING INDUSTRY SHOW is a trip to Indianapolis and an experience the absolute latest in performance technology and products all under one roof,Public,once a year,http://www.performanceracing.com/tradeshow,mail@performanceracing.com,USA,False,2023-12-07,3,699
SPRINGFIELD GUN SHOW 2023,"Guns & knife show. SPRINGFIELD GUN SHOW features personal defense weapons, war relics, rifles, handgun, shotgun, pistol, collectible firearm, antique knife, fishing & hunting accessories, survival gears, military surplus, holsters, gun cases and gun safe",Public,unknown,http://rkshows.com/events/category/missouri,rkshows@yousq.net,USA,False,2023-12-09,2,700
JACKSON GUNS & KNIFE SHOW 2023,"Self Defence Weapon Fair. JACKSON FALL GUNS & KNIFE SHOW features shooting rifles, gun parts, Knife & swords, antique guns, revolvers, holsters, laser sights, ear plugs, hunting gears, display cases, ammo, war relics, Reloading supply and equipment",Public,unknown,http://www.greatsoutherngunshow.com/calendar.htm,info@greatsoutherngunshow.com,USA,False,2023-12-09,2,701
MUNCIE GUNS & KNIFE SHOW 2023,"Arms Expo. MUNCIE GUNS & KNIFE SHOW features shotguns, handguns, hunting rifle, combat knife and swords, collector & antique guns, Indian artifacts, muzzle load, ear plugs, flashlight, safety equipment, holsters, war relics and gun parts",Public,6 times a year,http://www.centralindianagunshows.com/events,cigshows@gmail.com,USA,False,2023-12-09,2,702
MARIETTA GUN SHOW 2023,"Guns & knife show. MARIETTA GUN SHOW features handguns, shotguns, shooting rifles, collectible guns, all size of knives, war relics, pistols, hunting accessories, fishing gears, military surplus, holsters, gun safes, gun cases, survival gears",Public,unknown,http://rkshows.com/events/category/georgia,rkshows@yousq.net,USA,False,2023-12-09,2,703
KENNER GUNS & KNIFE SHOW 2023,"Arms & Ammunition Fair. KENNER SUMMER GUNS & KNIFE SHOW features hunting knife, shooting rifle, rifle spoke, sharpening tool, outdoor equipment, reloading supplies, hunting & fishing gears, holsters, Flashlight, hunting boots and Camouflage Related item",Public,unknown,http://www.greatsoutherngunshow.com/calendar.htm,info@greatsoutherngunshow.com,USA,False,2023-12-16,2,704
FLORIDA GUN & KNIFE SHOW EUSTIS 2023,"Guns & Weapons fair. FLORIDA GUN & KNIFE SHOW IN EUSTIS features shooting rifles, all types of knives, shotguns, self -defense weapons, fishing & hunting gears, holsters, antique pistols, collectible firearms and personal weapon permit course",Public,3 times a year,http://flgunshows.com/shows,email@flgunshows.com,USA,False,2023-12-09,2,705
DESTINATION MEXICO + LATIN AMERICA 2023,The premier hosted-buyer event for suppliers to connect with North American meeting professionals sourcing programs in Mexico and Latin America,Public,once a year,http://www.northstarmeetingsgroup.com/Events/Destination-Mexico,cbinder@ntmllc.com,Mexico,False,2023-12-12,4,706
ART BASEL MIAMI BEACH 2023,International Art Fair (20th Century Art),Public,once a year,http://www.artbaselmiamibeach.com/,art@messebasel.ch,USA,False,2023-12-08,3,707
ORIGINAL FORT WORTH GUN SHOW 2023,"Arms & Ammunition Fair. ORIGINAL FORT WORTH GUN SHOW SUMMER features self protection weapons, shooting rifle, shotguns, reloading supplies, combat swords, bulletproof jackets, ear plugs, holsters, carbines, laser sights and hunting knives",Public,unknown,http://www.premiergunshows.com/shows/dfw-original-fort-worth-gun-show,Info@PremierGunShows.com,USA,False,2023-12-30,2,579
EXPOARTESANIAS 2023,Expoartesanías is the main craft fair in Latin America. Its goal is to promote high quality traditional crafts,Public,once a year,http://www.expoartesanias.com/,expoartesanias@corferias.com,Colombia,False,2023-12-06,14,424
SMALL BUSINESS EXPO ATLANTA 2023,"Business Trade Show. Small Business Expo brings together thousands of business owners and decision-makers to network, attend business critical workshops, build new business relationships and shop from vendors that provide unique products & services",Public,once a year,http://www.thesmallbusinessexpo.com/city/atlanta,info@theshowproducers.com,USA,False,2023-12-13,1,708
CONFERENCE OF U.S. MAYORS 2024,Conference of U.S. Mayors,Public,twice a year,http://www.usmayors.org/meetings,cedwards@usmayors.org,USA,True,2024-01-01,1,422
GUNS & KNIFE SHOW MARION 2023,"Arms and Ammunition fair. GUNS & KNIFE SHOW MARION presents all types of firearms, training, combat knives & swords, fishing gears, antique pistols, cartridges, hunting accessories, gun cases & safes, self protection weapons and outdoor equipment",Public,once a year,http://www.gemcapitolshows.com/,tiamalle@aol.com,USA,False,2023-12-09,2,709
ARROWHEAD ICE FISHING AND WINTER SHOW 2023,Arrowhead Ice Fishing and Winter Show,Public,once a year,http://www.shamrockprod.com/,,USA,False,2023-12-08,3,710
ASHLAND GUN SHOW 2023,"Guns & knife show. ASHLAND GUN SHOW features handguns, shotguns, rifles, collectible guns, antique knife, personal defense weapons, hunting accessories, fishing gears, military surplus, outdoor equipment",Public,twice a year,http://rkshows.com/events/category/kentucky,rkshows@yousq.net,USA,False,2023-12-09,2,711
JACKSONVILLE HOME + PATIO SHOW (FALL) 2024,"Jacksonville, FL Home and PatioShow. The Jacksonville Home & Patio Show reveals the newest in Home, Remodelling, Home Decor, and More! The show offers the opportunity to meet hundreds of experts and experience thousands of products & services",Public,once a year,http://jacksonvillefallhomeshow.com/,hillaryl@marketplaceevents.com,USA,True,2024-09-01,1,719
HARVEST FESTIVAL - ORIGINAL ART & CRAFT - LAS VEGAS 2024,"Original Art & Craft Show. The Harvest Festival is an original Art & Craft Show with 24, 000 handmade American art & crafts in hundreds of booths, all day entertainment, and kids activity center",Public,once a year,http://harvestfestival.com/las-vegas-1,info@harvestfestival.com,USA,True,2024-09-01,1,1054
FICA - FERIA INDUSTRIAL DEL CARAIBE 2024,Industrial Fair of the Caribbean. FICA is the platform for business and industrial contacts that promotes the technological and commercial exchange of goods and services for the productive industries of the Caribbean region,Public,once a year,http://fica.com.co/,info@corferias.com,Colombia,True,2024-09-01,1,609
GRAND STRAND GIFT & RESORT MERCHANDISE SHOW 2023,"Gift Fair. The annual Grand Strand Gift & Resort Merchandise Show is the largest, longest-running coastal resort gift show in the nation, featuring 800+ booths, retailers can now explore an even greater selection of products",Public,once a year,http://www.grandstrandgiftshow.com/,info@clarionevents.com,USA,False,2023-12-03,4,540
HEAT & FIRE EXPO USA - CALIFORNIA 2024,"The Heat & Fire USA is the leading wildfire prep, management, and recovery event, showcasing the latest tools, strategies, and insights among investment and global industry leaders",Public,once a year,http://www.theheatandfireexpo.com/,inquiries.ndem@fortem-international.com,USA,True,2024-09-01,1,803
LIVE DESIGN INTERNATIONAL (LDI) 2023,Entertainment Technology Show & Conference. Live Design International (LDI) is Where You’ll Find the Broadest Cross-Section of the Live Design Marketplace,Public,once a year,http://www.ldishow.com/,patricia.arescy@informa.com,USA,False,2023-11-29,7,429
EXPOCRUZ 2024,Santa Cruz International Fair,Public,once a year,http://fexpocruz.com.bo/ferias/expocruz,feria@fexpocruz.com.bo,Bolivia,True,2024-09-01,1,895
HOUSTON HOME + GARDEN SHOW (FALL) 2024,"Houston, TX Home & Garden Show",Public,once a year,http://houstonfallhomeandgardenshow.com/,alisonf@mpeshows.com,USA,True,2024-09-01,1,824
WIN EXPO - ANNUAL NORTH COAST WINE INDUSTRY EXPO 2023,"WIN Expo provides winery and vineyard professionals access to nearly 300 of the industry’s best suppliers and service professionals showcasing their most current, innovative new products and services",Public,once a year,http://www.wineindustryexpo.com/,info@wineindustryexpo.com,USA,False,2023-11-30,1,689
OSHKOSH GUN SHOW 2023,"Arms Expo. OSHKOSH GUN SHOW features shooting rifles, shotguns, hunting knife, rifle spoke, bulletproof jackets, ear plugs, fishing accessories, holsters, outdoor survival gears and laser optics",Public,twice a year,http://gunshowtrader.com/gun-shows/oshkosh-sunnyview-expo-gun-show,,USA,False,2023-12-01,3,667
EXPO ARTE NAVIDEÑO 2023,"Christmas Fair. Crafts, food, household items, toys, jewelry, textiles, decoration and ornament...",Public,once a year,http://www.feicobol.com.bo/,feicobol@feicobol.com.bo,Bolivia,True,2023-12-01,1,578
TULSA GRAND NATIONAL GUN SHOW 2023,"Arms & Ammunition Fair. TULSA GRAND NATIONAL GUN SHOW presents all types of firearms, combat knife, muzzle load, antique pistols, cartridges, hunting accessories, gun cases & safes, self protection weapons, outdoor survival training and hi-tech optics",Public,twice a year,http://macshows.com/oklahoma,ddiener@suddenlinkmail.com,USA,False,2023-12-02,2,567
SAN ANTONIO HOME + GARDEN SHOW - FALL 2024,"San Antonio, TX Home & garden Show. Innovative Products and Hundreds of Experts all Under One Roof",Public,once a year,http://sanantoniofallhomeshow.com/,rosannah@marketplaceevents.com,USA,True,2024-09-01,1,890
ENCONTRO ANUAL DO MERCADO LIVRE 2023,"“Encontro Anual do Mercado Livre” is a unique opportunity for dialogue, technical and commercial, between producers, traders and free consumers",Public,once a year,http://www.encontromercadolivre.com.br/,eaml@informa.com,Brazil,False,2023-11-29,3,690
BOSSIER CITY GUN & KNIFE SHOW 2023,"Arms and Ammunition Fair. BOSSIER CITY GUN & KNIFE SHOW features shooting rifles, shotguns, collectibles, pistols, antique knifes, war relics, personal defense weapons, gun safe, outdoor equipment, hunting accessories, holsters and display cases",Public,unknown,http://capgunshows.com/bossier-city-gun-show,info@capgunshows.com,USA,False,2023-12-02,2,691
ART MIAMI 2023,"Contemporary and Modern art fair in Florida. ART MIAMI features fine arts, emergent modern artwork, paintings, sculptures, design on fabrics, woodwork, photography, drawings, video art, curio and antiques",Public,once a year,http://www.artmiamifair.com/,info@art-miami.com,USA,False,2023-12-05,6,672
STRAIGHT SHOOTERS GUN SHOW NEW ALBANY 2023,"Arms & Ammunition Fair. STRAIGHT SHOOTERS GUN SHOW NEW ALBANY showcases antique pistols, hunting rifles, combat knives and swords, cartridges, coins & collectible, hunting accessories, fishing gears, holsters, gun safes & cases, survival training",Public,twice a year,http://www.straightshootersenterprises.com/,,USA,True,2023-12-01,1,692
EDUCATION & CAREER FAIRS - BRITISH COLUMBIA 2023,"Education & Career Fair. ECF's mission is to provide high school students, parents, teachers and counselors with thousands of post-secondary options from around the world",Public,once a year,http://www.educationcareerfairs.com/ecf-british-columbia,vancouver@icsevents.com,Canada,False,2023-11-29,1,694
PASADENA GUNS & KNIFE SHOW 2023,"Arms & Ammunition Fair. PASADENA GUNS & KNIFE SHOW presents self-defense weapons, antique pistols, Colt, all size of knives, Sig Sauer, muzzle load, bulletproof jacket, carbines, hi-tech optics, survival training & hunting gears",Public,unknown,http://www.premiergunshows.com/shows/houston-pasadena-gun-show,Info@PremierGunShows.com,USA,False,2023-12-02,2,673
AMERICAN AEROSPACE & DEFENSE SUMMIT 2023,Conference dedicated to manufacturing and R&D in American aerospace and defense,Public,once a year,http://aadsummit.com/,info@generisgp.com,USA,False,2023-12-04,2,695
JACKSONVILLE GUNS & KNIFE SHOW 2023,"Weapon fair. JACKSONVILLE GUNS & KNIFE SHOW showcases hunting knife, shooting rifle, shotguns, rifle spoke, sharpening tool, outdoor equipments, muzzle load, hi-tech optics, collector guns, flashlight, hunting boots and Camouflage Related item",Public,unknown,http://www.ncgunshows.com/,,USA,False,2023-12-02,2,696
EXPO FERRETERA 2023,International Hardware and Tools Trade Fair,Public,every 2 years,http://www.expoferretera.com.ar/,-expoferretera@argentina.messefrankfurt.com,Argentina,False,2023-11-29,4,432
LACEY GUN SHOW 2023,"Arms & Ammunition Fair. LACEY GUN SHOW presents hunting rifle, samurai swords, memorabilia, custom knife, air guns, cartridges, gun magazines, collectors guns, antique pistols, coins, scopes, fishing tackle, display cases, and survival training",Public,unknown,http://www.bigtoppromos.com/,sales@bigtoppromos.com,USA,False,2023-12-16,2,712
MURFREESBORO GUN SHOW 2023,"Guns & knife show. MURFREESBORO GUN SHOW features handguns, shotguns, shooting rifles, collectible guns, all size of knives, war relics, pistols, hunting accessories, fishing gears, military surplus, holsters, gun safes, gun cases, survival gears",Public,unknown,http://rkshows.com/events/category/tennessee,rkshows@yousq.net,USA,False,2023-12-30,2,713
TOPEKA GUN SHOW 2023,"Guns & knife show. TOPEKA GUN SHOW features shooting rifles, handguns, shotguns, collectible firearm, antique knife, personal defense weapons, fishing & hunting accessories, survival gears, military surplus, gun cases and safe",Public,unknown,http://rkshows.com/events/category/kansas,rkshows@yousq.net,USA,False,2023-12-09,2,454
COLUMBIA GUN & KNIFE SHOW 2023,"Arms and Weapons fair. COLUMBIA GUN & KNIFE SHOW IN SUMMER features rifles, shotguns, collectibles firearms, all size of knives, swords, personal defense weapons, outdoor equipment, fishing & hunting accessories, holster, gun cases & gun safe",Public,3 times a year,http://www.scgunshows.com/columbia-show,Mike@MKShows.com,USA,False,2023-12-09,2,714
ST. CHARLES GUN SHOW 2023,"Guns & knife show. ST. CHARLES GUN SHOW features shooting rifles, handguns, shotguns, collectible firearm, antique knife, personal defense weapons, fishing & hunting accessories, survival gears, military surplus, gun cases and safe",Public,unknown,http://rkshows.com/event/st-charles-mo-gun-show,rkshows@yousq.net,USA,False,2023-12-30,2,649
PALM BEACH MODERN + CONTEMPORARY 2023,"Palm Beach Modern + Contemporary Art Fair. The most important works available for acquisition at the forefront of the international contemporary, modern, classical modern, post-war and pop eras",Public,once a year,http://www.artpbfair.com/,info@artmiami.com,USA,False,2023-12-05,6,715
STRETCH & SHRINK FILM NORTH AMERICA 2023,Forum exploring trends and technical developments in the North America Stretch & Shrink Film industry,Public,every 2 years,http://www.ami.international/events/upcoming,info@amiplastics.com,USA,False,2023-12-06,2,716
LAS VEGAS GUNS & KNIFE SHOW 2023,"Arms & Ammunition fair. LAS VEGAS GUNS & KNIFE SHOW showcases shooting rifles, all sizes of knives, swords, hunting shotgun, camouflage merchandise, fishing accessories, ammo, carbines, cartridges, Hi-tech optics, combat training and outdoor survival gea",Public,unknown,http://www.crossroadsgunshows.com/venue/the-pavilions-at-world-market-center,gunshows@crossroadsgunshows.com,USA,False,2023-12-09,2,717
JOPLIN GUN SHOW 2023,"Guns & knife show. JOPLIN GUN SHOW features handguns, shotguns, rifles, collectible guns, antique knife, personal defense weapons, hunting accessories, fishing gears, military surplus, outdoor equipment",Public,unknown,http://rkshows.com/events/category/missouri,rkshows@yousq.net,USA,False,2023-12-22,2,718
JACKSONVILLE HOME + PATIO SHOW (JANUARY) 2024,"Jacksonville, FL Home and Garden Show. The Jacksonville Home & Patio Show reveals the newest in Home, Remodelling, Home Decor, and More! The show offers the opportunity to meet hundreds of experts and experience thousands of products & services",Public,once a year,http://marketplaceevents.com/our-shows,hillaryl@marketplaceevents.com,USA,True,2024-01-01,1,719
TACOMA GUN SHOW 2023,"Firearms Fair. TACOMA GUN SHOW presents self protection items, hunting rifle, handguns, reloading supplies, cartridges, edged weapons, ammo, hunting gears, bulletproof jackets, ear plugs, decals, holsters, carbines, flashlight, gun parts & tools",Public,unknown,http://www.bigtoppromos.com/,sales@bigtoppromos.com,USA,False,2023-12-09,2,720
WILMINGTON GUNS & KNIFE SHOW 2023,"Weapon Fair. WILMINGTON GUNS & KNIFE SHOW showcases combat knives, swords, hunting rifle, shotguns, antique pistols, gun magazine, display cases, holsters, Indian artifacts, war relics, outdoor equipment, ammo, laser sight and gun parts",Public,unknown,http://ncgunshows.com/schedule,,USA,False,2023-12-09,2,721
GREENVILLE GUN & KNIFE SHOW 2023,"Arms & Ammunition Fair. GREENVILLE WINTER GUN & KNIFE SHOW presents all types of firearms, combat knife & sword, airguns, Camouflage merchandise, antique pistol, cartridges, hunting accessories, self protection weapons, alarms, outdoor equipment",Public,unknown,http://www.scgunshows.com/greenville-show,scacadirector@aol.com,USA,False,2023-12-16,2,478
LENOIR GUNS & KNIFE SHOW 2023,"Arms & Antique Expo: shotguns, handguns, hunting rifle, combat knife, samurai swords, collector firearms, Indian artifacts, muzzle load, laser optics, safety equipment, holsters, gun parts and rifle spoke",Public,unknown,http://www.greatamericanpromotionsllc.com/,MWXmarketing@aol.com,USA,False,2023-12-16,2,722
CLEBURNE GUNS & KNIFE SHOW 2023,"Arms & Weapons fair. CLEBURNE GUNS & KNIFE SHOW showcases shotguns, handguns, rifles, knives, combat swords, cartridges, carbine, holsters, collectible firearms, antique weapons, hunting accessories, fishing gears, ammo and outdoor equipments",Public,unknown,http://www.whippfarmproductions.com/events.html,whipp.events@gmail.com,USA,False,2023-12-16,2,723
G & S OKLAHOMA GUNS & KNIFE SHOW - SHAWNEE 2023,"Arms and Ammunition Fair. G & S OKLAHOMA GUNS & KNIFE SHOW presents antique pistols, rifles, air guns, combat knives, gun magazines, collectible firearm, hunting & fishing gears, holsters, gun safes, display cases, survival training and gun parts",Public,twice a year,http://gunshowtrader.com/promoter/gs-promotions,gnshpr1@aol.com,USA,False,2023-12-16,2,724
RALEIGH GUN & KNIFE SHOW 2023,"Arms and Ammunition Fair showcases antique pistols, hunting rifles, combat knives and swords, cartridges, coins & collectible, hunting accessories, fishing gears, holsters, gun safes & cases, outdoor survival training",Public,unknown,http://www.cegunshows.com/,info@showmastersgunshows.com,USA,False,2023-12-16,2,725
INTERNATIONAL SALON AND SPA EXPO (ISSE) 2024,"Professional beauty expo & education event on West Coast. ISSE long beach features latest beauty trends, Cosmetics Personal Care, Packaging, Contract Manufacturing & Private Label, Spa & Wellness, Hair stylists, Nails & Tools and make-up artists",Public,once a year,http://www.probeauty.org/isselb,sales@premiereshows.com,USA,True,2024-01-01,1,526
"GRAND RAPIDS CAMPER, TRAVEL & RV SHOW 2024","Camping, Travel and Recreational Vehicles Fair",Public,once a year,http://showspan.com/?market=grand%20rapids,events@showspan.com,USA,False,2024-01-18,4,615
JOHNSON COUNTY HOME + GARDEN SHOW 2024,"Johnson County, KS Home & Garden Show. Innovative Products and Hundreds of Experts all Under One Roof",Public,once a year,http://johnsoncountyhomeshow.com/,rosannah@marketplaceevents.com,USA,False,2024-01-26,3,619
AQUA ART MIAMI 2023,"Contemporary and Modern art fair in Miami. AQUA ART MIAMI features fine arts, emergent modern artwork, paintings, sculptures, design on fabrics, woodwork, photography, drawings, video art, curio and antiques",Public,once a year,http://www.aquaartmiami.com/,info@art-miami.com,USA,False,2023-12-06,5,726
LAFAYETTE GUN & KNIFE SHOW 2023,"Arms and Ammunition Fair. LAFAYETTE GUN & KNIFE SHOW showcases shooting rifles, all sizes of knives, automatic shotguns, collectible firearms, hunting and fishing accessories, Militaria of Wars, ammo, gun parts, magazines, cartridges and laser sights",Public,6 times a year,http://capgunshows.com/lafayette-gun-show,info@capgunshows.com,USA,False,2023-12-09,2,727
ACCESS MBA - SAN FRANCISCO 2024,ACCESS MBA is a communication campaign specifically designed to better inform prospective students of existing MBA opportunities. ACCESS MBA is a series of events organised around the world,Public,twice a year,http://www.accessmba.com/events/region/north-america,coutat@advent-communication.net,USA,True,2024-01-01,1,510
CAPITAL CITY GUN & KNIFE SHOW IN RALEIGH 2023,"Arms and Ammunition Fair. CAPITAL CITY GUN & KNIFE SHOW IN RALEIGH features rifles, handguns, shotguns, combat knives and swords, cartridges, antique coins, hunting and fishing accessories, war relics, carbines and self protection items",Public,unknown,http://www.cegunshows.com/raleigh-gun-show.html,info@showmastersgunshows.com,USA,False,2023-12-16,2,725
LOUISVILLE GUN SHOW 2023,"Guns & knife show. LOUISVILLE GUN SHOW showcases handguns, shotguns, shooting rifles, collectible guns, all size of knives, war relics, pistols, hunting accessories, fishing gears, military surplus, holsters, gun safes, gun cases, survival gears",Public,unknown,http://rkshows.com/event/louisville-ky-gun-show-5,rkshows@yousq.net,USA,False,2023-12-30,2,728
G & S ARKANSAS GUNS & KNIFE SHOW - CONWAY 2023,"Arms and Ammunition Fair. G & S ARKANSAS GUNS & KNIFE SHOW presents antique pistols, rifles, air guns, combat knives, gun magazines, collectible firearm, hunting gears, fishing gears, holsters, gun safes, display cases, survival training...",Public,unknown,http://gunshowtrader.com/promoter/gs-promotions,gnshpr1@aol.com,USA,False,2023-12-09,2,729
TORONTO CHRO 2023,Human Resource Congress. CHRO (Chief Human Resources Officer) SUMMIT gives the oportunity to share best practices and develop leadership skills that enhance organization's ability to impact the local and global business climate,Public,3 times a year,http://www.evanta.com/calendar,info@evanta.com,Canada,False,2023-12-13,1,730
DREAM HACK ATLANTA 2023,"DreamHack is a three-day event with everything gaming under one roof! DreamHack will feature all core content of a DreamHack festival, such as the BYOC LAN, esports tournaments, cosplay, live music, an expo area and much more",Public,once a year,http://dreamhack.com/atlanta,sales@dreamhack.com,USA,False,2023-12-15,3,731
GUNS & KNIFE SHOW FOREST PARK 2023,"Arms & Weapon fair. GUNS & KNIFE SHOW IN FOREST PARK features rifles, all types of knives, shotguns, personal defence weapons, fishing gears, holsters, antiques & collectible firearms, gun cases, hunting accessories, outdoor equipment",Public,unknown,http://www.gemcapitolshows.com/,gunshow@windstream.net,USA,False,2023-12-30,2,732
