Event Name,Description,Audience,Cycle,Email,Website,Date,Duration,Venue,City,Country
LONE STAR GUNS & KNIFE SHOW BELTON 2023,"Arms and Ammunition Fair. LONE STAR GUNS & KNIFE SHOW BELTON presents shooting rifles, combat knife, collector guns, fishing tackle, antique pistol, cartridges, hunting gears, gun safe, self defense weapons, survival training and hi-tech optics",Public,unknown,Michelle@lonestargunshow.com,http://www.lonestargunshows.com/,2023-09-30,2,Bell County Exposition Center,Belton,USA
AHR EXPO-MEXICO 2023,"International Air-conditioning, Heating, Refrigerating Exposition",Public,every 2 years,ventas@ahrexpomexico.com,http://www.ahrexpomexico.com/,2023-09-19,3,Centro Citibanamex,Mexico City,Mexico
ACCESS MBA - DALLAS 2023,ACCESS MBA is a communication campaign specifically designed to better inform prospective students of existing MBA opportunities. ACCESS MBA is a series of events organised around the world,Public,unknown,coutat@advent-communication.net,http://www.accessmba.com/events/city/dallas,2023-09-21,1,"Dallas, TX",Dallas,USA
TUBOTECH 2023,"International Trade Fair for Pipes, Valves, Fittings and Components",Public,every 2 years,comercial@fieramilano.com.br,http://www.tubotech.com.br/,2023-10-03,3,São Paulo Expo Exhibition & Convention Center,São Paulo,Brazil
EXPO HOSPITAL 2023,"International Exhibition of Technologies, Products and Service for Hospitals and Clinics",Public,every 2 years,info@expohospital.cl,http://www.expohospital.cl/,2023-09-12,3,Espacio Riesco,Santiago,Chile
ACCESS MBA - SEATTLE 2023,ACCESS MBA is a communication campaign specifically designed to better inform prospective students of existing MBA opportunities. ACCESS MBA is a series of events organised around the world,Public,unknown,coutat@advent-communication.net,http://www.accessmba.com/events/city/seattle,2023-09-26,1,"Seattle, WA",Seattle,USA
MAQUINTEX + SIGNS - NORTH & NORTHEAST 2023,Maquintex & Signs are the meeting point for innovation and knowledge for the textile and visual communication industries in the region,Public,every 2 years,comunicacao@fcem.com.br,http://maquintex.com.br/,2023-09-12,3,Centro de Eventos do Ceará,Fortaleza,Brazil
WMS 2023,Canada's Premier Woodworking Event,Public,every 2 years,wms@heiexpo.com,http://www.woodworkingnetwork.com/wms-event,2023-11-02,3,Toronto Pearson International Airport - YYZ,Mississauga,Canada
CLARKSVILLE GUNS & KNIFE SHOW 2023,"Arms & Ammunition Fair. CLARKSVILLE GUNS & KNIFE SHOW features hunting knives, shooting rifle, rifle spoke, sharpening tool, outdoor equipment, reloading supplies, fishing tackle, flashlight, hi-tech optics, hunting boots and Camouflage Related item",Public,unknown,MWXmarketing@aol.com,http://www.greatamericanpromotionsllc.com/,2023-08-05,2,"National Guard Armory, Clarksville",Clarksville,USA
WISCONSIN MANUFACTURING & TECHNOLOGY SHOW (WMTS) 2023,Metalworking and Manufacturing Tool Trade Show. Wisconsin Manufacturing & Technology Show (WMTS) is an opportunity to promote and enhance your company and products in the Midwest’s premier metalworking and manufacturing tool show,Public,every 2 years,carrie@epishows.com,http://www.epishows.com/wmts,2023-10-03,3,Wisconsin Expo Center / State Fair Park,Milwaukee,USA
SANDY GUNS & KNIFE SHOW 2023,"Self-defense weapon fair. Crossroads gun shows presents antique pistols, rifles, air guns, knives, gun magazines, rifle spoke, hunting gears, sharpening tools, holsters, gun safes, display cases, survival training and gun parts",Public,unknown,gunshows@crossroadsgunshows.com,http://www.crossroadsgunshows.com/event/mountain-america-expo-sandy-ut-9,2023-09-23,2,Mountain America Expo Center,Sandy,USA
OWENSBORO GUN SHOW 2023,"Guns & knife show features handguns, shotguns, shooting rifles, collectible guns, all size of knives, war relics, pistols, hunting accessories, fishing gears, military surplus, holsters, gun safes, gun cases, survival gears",Public,unknown,rkshows@yousq.net,http://rkshows.com/events/category/kentucky,2023-09-23,2,Owensboro Sportscenter,Owensboro,USA
BOSTON CHRO 2023,Human Resource Congress. CHRO (Chief Human Resources Officer) SUMMIT gives the oportunity to share best practices and develop leadership skills that enhance organization's ability to impact the local and global business climate,Public,unknown,info@evanta.com,http://www.evanta.com/calendar,2023-09-07,1,"Boston, MA",Boston,USA
SOMERVILLE GUNS & KNIFE SHOW 2023,"Arms & Antique Expo: shotguns, handguns, hunting rifle, combat knife, samurai swords, collector firearms, Indian artifacts, muzzle load, laser optics, safety equipment, holsters, gun parts and rifle spoke",Public,unknown,MWXmarketing@aol.com,http://www.greatamericanpromotionsllc.com/,2023-09-09,2,The Venue 38068 (formerly Fred’s),Somerville,USA
FEBRAVA 2023,"International Refrigeration, Air Conditioning, Ventilation, Heating and Air Treatment",Public,every 2 years,atendimentovisitante@rxglobal.com,http://www.febrava.com.br/,2023-09-12,4,São Paulo Expo Exhibition & Convention Center,São Paulo,Brazil
MADISONVILLE GUN SHOW 2023,"Guns & knife show features handguns, shotguns, shooting rifles, collectible guns, all size of knives, war relics, pistols, hunting accessories, fishing gears, military surplus, holsters, gun safes, gun cases, survival gears",Public,unknown,rkshows@yousq.net,http://rkshows.com/events/category/kentucky,2023-09-16,2,West Kentucky Archery Complex,Madisonville,USA
CONGRESSO ABES / FENASAN 2023,The largest event of Environmental Sanitation of the Americas,Public,every 2 years,contato@abesfenasan2017.com.br,http://www.fenasan.com.br/,2023-10-03,3,Expo Center Norte,São Paulo,Brazil
WORLD PETROLEUM CONGRESS 2023,"World Petroleum Congress. The World Petroleum Congress is the largest international petroleum congress and attracts the highest level industry and government leaders, including Heads of State and C-Suite, from around the globe",Public,every 2 years,info@23wpchouston.com,http://www.24wpc.com/,2023-09-17,5,BMO Centre,Calgary,Canada
WIRE SOUTH AMERICA 2023,International Wire & Cable Industry Trade Fair,Public,every 2 years,info@messe-duesseldorf.de,http://www.wiresa.com.br/,2023-10-03,3,São Paulo Expo Exhibition & Convention Center,São Paulo,Brazil
SPARTANBURG GUNS & KNIFE SHOW 2023,"Arms & Antique Expo. SPARTANBURG GUNS & KNIFE SHOW presents shotguns, handguns, hunting rifle, combat knife, samurai swords, collector firearms, Indian artifacts, muzzle load, laser optics, safety equipment, holsters, gun parts and rifle spoke",Public,unknown,MWXmarketing@aol.com,http://www.greatamericanpromotionsllc.com/,2023-09-23,2,Peidmont Interstate Fairgrounds,Spartanburg,USA
SAIE BRAZIL 2023,International Building Show,Public,every 2 years,comercial@fieramilano.com.br,http://www.saiebrasil.com.br/,2023-08-31,2,CentroSul - Centro de Convenções de Florianópolis,Florianópolis,Brazil
MIDWEST ARMS COLLECTOR SHOW TOPEKA 2023,"Guns & Knives Show. MIDWEST ARMS COLLECTOR SHOW TOPEKA features antique pistols, rifles, air guns, combat knives, gun magazines, Indian artifacts, collectible firearm, hunting & fishing gears, holsters, gun safes & cases, survival training and gun part",Public,unknown,info@macshows.com,http://macshows.com/kansas-shows,2023-09-09,2,Stormont Vail Events Center,Topeka,USA
GLEN ROSE GUNS & KNIFE SHOW 2023,"Arms & Weapons fair. GLEN ROSE GUNS & KNIFE SHOW showcases shooting rifles, self defense trainig, all sizes of knives, collectible firearms, hunting & fishing accessories, shotguns, samurai swords, cartridges, gun cases & safe, holsters and carbines",Public,unknown,whipp.events@gmail.com,http://www.whippfarmproductions.com/events.html,2023-09-02,2,Somervell County Expo Center Glen Rose,Glen Rose,USA
AIKEN GUNS & KNIFE SHOW 2023,"Self-protection weapon Expo. AIKEN GUNS & KNIFE SHOW presents automatic shotguns, shooting rifle, hunting knives, fishing gears, pistols, cartridges, display cases, gun safes, ear plugs, ammo, flashlight, safety gadgets, sharpening tools and laser optics",Public,unknown,MWXmarketing@aol.com,http://www.greatamericanpromotionsllc.com/,2023-09-16,2,Western Carolina State Fair,Aiken,USA
CMTS - CANADIAN MANUFACTURING TECHNOLOGY SHOW 2023,"For many years, the CMTS audience from within Canada’s leading industries including automotive and aerospace have come together to source solutions and knowledge from the global leaders in machine tools & tooling, metalworking, and advanced manufacturing",Public,every 2 years,canadasales@sme.org,http://www.cmts.ca/,2023-09-25,4,Toronto Congress Centre,Toronto,Canada
"HITS CHAMPIONSHIP JUNE LAKE, CA 2024","Fitness Expo in June Lake, CA region. HITS CHAMPIONSHIP JUNE LAKE is a sporting event for running, hiking, swimming, biking featuring wellness & fitness seminars, nutritionists, training experts, all fitness products & services for Triathlon",Public,once a year,info@alpha.win,http://alpha.win/event/june-lake-ca,2024-08-17,1,"June Lake, CA",June Lake,USA
"BALTIMORE ART, ANTIQUE & JEWELRY SHOW 2024","Baltimore Art, Antique & Jewelry Show",Public,once a year,Info@palmbeachshow.com,http://www.baltimoresummershow.com/,2024-08-29,4,Baltimore Convention Center,Baltimore,USA
INTERSOLAR SUMMIT BRASIL SÃO PAULO 2024,'Intersolar Summit Brasil São Paulo' addresses leading local and international experts on solar power and renewable energy in the region,Public,once a year,fsf@arandanet.com.br,http://www.intersolar.net.br/en/home,2024-08-27,3,Expo Center Norte,São Paulo,Brazil
STAMP & SCRAPBOOK EXPO EDISON 2024,"Art & Craft fair in Edison, N. STAMP & SCRAPBOOK EXPO EDISON features craft show, craft shopping, paper craft, clay modelling, abstract arts, Art & Craft workshop, craft tools, creative ideas and crafts for kids",Public,once a year,Info@scrapbookexpo.com,http://www.scrapbookexpo.com/,2024-08-23,2,New Jersey Convention & Exposition Center,Edison,USA
BOE INTERNATIONAL 2024,Leading trade show for marketing and the event industry,Public,once a year,medien@westfalenhallen.de,http://www.boe-messe.de/en,2024-01-17,2,Exhibition Centre Dortmund,Dortmund,Germany
CLINTON GUNS & KNIFE SHOW 2023,"Arms & Antique Expo: shotguns, handguns, hunting rifle, combat knife, samurai swords, collector firearms, Indian artifacts, muzzle load, laser optics, safety equipment, holsters, gun parts and rifle spoke",Public,unknown,MWXmarketing@aol.com,http://www.greatamericanpromotionsllc.com/,2023-10-07,2,"National Guard Armory, Clinton, TN",Clinton,USA
CNR BOOK FAIR - ISTANBUL 2024,"Publishing, e-Publishing & Technologies Fair",Public,once a year,info@cnrexpo.com,http://cnrkitapfuari.com/index.aspx?ln=2,2024-03-01,1,Istanbul Expo Center / Istanbul Fuar Merkezi / CNR Expo,Istanbul,Turkey
BIENAL DO LIVRO RIO 2023,Book Fair,Public,every 2 years,contato@fagga.com.br,http://www.bienaldolivro.com.br/,2023-09-01,10,RioCentro - Exhibition & Convention Center,Rio de Janeiro,Brazil
LAYTON GUNS & KNIFE SHOW 2023,"Arms & Ammunition fair. LAYTON GUNS & KNIFE SHOW features shooting rifles, shotguns, combat knives, samurai swords, muzzle load, collectibles & antique, hunting and fishing accessories, war relics, carbines, self protection items and laser sight",Public,unknown,gunshows@crossroadsgunshows.com,http://www.crossroadsgunshows.com/,2023-08-26,2,Davis Conference Center,Layton,USA
ANALITICA LATIN AMERICA 2023,"International Exhibition of Technologies to Laboratories. Analysis, Biotechnology and Metrology",Public,every 2 years,analitica@nm-brasil.com.br,http://www.analiticanet.com.br/,2023-09-26,3,São Paulo Expo Exhibition & Convention Center,São Paulo,Brazil
MERCOAGRO 2023,"International Meat and Milk Industry Trade Show. MERCOAGRO showcases newest trends in segments like ingredients & additives, packaging, refrigeration, industrial automation, logistics, equipment & supplies, sewage treatment, sanitation, services",Public,every 2 years,flavio.lemos@btsmedia.biz,http://www.mercoagro.com.br/en,2023-09-12,4,Parque de Exposições Tancredo Neves (Efapi),Chapecó,Brazil
SOUTH BEND GUNS & KNIFE SHOW 2023,"Weapon Fair. SOUTH BEND GUNS & KNIFE SHOW showcases shotguns, handguns, hunting rifle, swords, collector & antique guns, Indian artifacts, muzzle load, rifle spoke, ear plugs, flashlight, safety equipment, holsters, ammo and gun parts",Public,unknown,cigshows@gmail.com,http://www.centralindianagunshows.com/events,2023-08-12,2,St. Joseph County Fairgrounds,South Bend,USA
ALLENTOWN GUNS AND KNIFE SHOW 2023,"Arms and Ammunition fair. ALLENTOWN GUNS AND KNIFE SHOW presents personal defense weapons, shotguns, shooting rifle, antique knives, dagger, samurai swords, ammo, collectible firearms, fishing and hunting accessories, holsters, outdoor equipment, carbine",Public,unknown,,http://www.eagleshows.com/,2023-09-30,1,Allentown Fairgrounds,Allentown,USA
NEWBERRY GUNS & KNIFE SHOW 2023,"Self-protection weapon Expo. NEWBERRY GUNS & KNIFE SHOW presents automatic shotguns, shooting rifle, hunting knives, fishing gears, pistols, cartridges, display cases, gun safes, ear plugs, flashlight, safety gadgets, sharpening tools & laser optics...",Public,unknown,MWXmarketing@aol.com,http://www.greatamericanpromotionsllc.com/,2023-08-05,2,Newberry Shrine Club,Newberry,USA
UNION GROVE GUN SHOW 2023,"Arms & Ammunition Fair. UNION GROVE GUN SHOW features hunting knife, shooting rifle, rifle spoke, sharpening tool, gun parts, reloading supplies, hunting & fishing gears, flashlight, hunting boots and Camouflage Related item",Public,unknown,,http://gunshowtrader.com/gunshows/wisconsin-gun-shows,2023-09-27,5,Racine County Fairgrounds,Racine,USA
DYERSBURG GUNS & KNIFE SHOW 2023,"Arms & Antique Expo: shotguns, handguns, hunting rifle, combat knife, samurai swords, collector firearms, Indian artifacts, muzzle load, laser optics, safety equipment, holsters, gun parts and rifle spoke",Public,unknown,MWXmarketing@aol.com,http://www.greatamericanpromotionsllc.com/,2023-09-23,2,Dyer County Fairgrounds,Dyersburg,USA
RICHMOND GUN SHOW 2023,"Guns & knife show features shooting rifles, handguns, shotguns, collectible firearm, antique knife, personal defense weapons, fishing & hunting accessories, survival gears, military surplus, gun cases and safe",Public,unknown,rkshows@yousq.net,http://rkshows.com/events/category/kentucky,2023-10-06,3,Madison County Fairgrounds,Richmond,USA
PLASTICS MEETINGS MEXICO 2023,International Business Convention & Forum for the Plastics & Advanced Materials Industry,Public,every 2 years,info@advbe.com,http://www.mexico.plastics-meetings.com/,2023-10-25,2,Mexico City,Mexico City,Mexico
STRAIGHT SHOOTERS GUN SHOW SALEM 2023,"Arms & Ammunition Fair. STRAIGHT SHOOTERS GUN SHOW SALEM ARMORY showcases antique pistols, hunting rifles, combat knives and swords, cartridges, coins & collectible, hunting accessories, fishing gears, holsters, gun safes & cases, survival training",Public,unknown,,http://www.straightshootersenterprises.com/,2023-10-07,2,Salem Armory,Salem,USA
OAKS GUNS AND KNIFE SHOW 2023,"Arms and Ammunition fair. OAKS GUNS AND KNIFE SHOW presents shotguns, handguns, shooting rifles, pistol, antique knife & dagger, samurai swords, ammo, collectible firearms, carbine, fishing and hunting accessories, holsters, cartridges, gun cases & safe",Public,unknown,,http://www.eagleshows.com/,2023-10-20,3,Greater Philadelphia Expo Center,Philadelphia,USA
MESQUITE RODEO GUNS & KNIFE SHOW 2023,"Arms & Ammunition Fair. MESQUITE RODEO GUNS & KNIFE SHOW presents self-defense weapons, antique pistols, Colt, all size of knives, Sig Sauer, muzzle load, bulletproof jacket, carbines, hi-tech optics, survival training & hunting gears",Public,unknown,info@premiergunshows.com,http://www.premiergunshows.com/shows,2023-10-14,2,Mesquite Convention Center,Dallas,USA
BLOOMSBURG GUNS AND KNIFE SHOW 2023,"Arms and Ammunition fair. BLOOMSBURG GUNS AND KNIFE SHOW presents personal defense weapons, shotguns, shooting rifle, antique knives, dagger, samurai swords, ammo, collectible firearms, fishing and hunting accessories, holsters, outdoor equipment, carbin",Public,unknown,,http://www.eagleshows.com/,2023-10-14,1,Bloomsburg Fairgrounds,Bloomsburg,USA
DICKSON GUNS & KNIFE SHOW 2023,"Arms & Ammunition Fair. DICKSON GUNS & KNIFE SHOW features hunting knives, shooting rifle, rifle spoke, sharpening tool, outdoor equipment, reloading supplies, fishing tackle, flashlight, hi-tech optics, hunting boots and Camouflage Related item",Public,unknown,MWXmarketing@aol.com,http://www.greatamericanpromotionsllc.com/,2023-10-14,2,Dickson County Fairgrounds,Dickson,USA
"RETRO EXPO IN PLANO, TX 2023","Fair for Vintage and Collector's items. Comics, Toys, Records, Games, Movies, Cards, Apparel and more...",Public,once a year,heritageeventco@gmail.com,http://www.heritageeventcompany.com/,2023-11-01,1,Dallas/Plano Marriott at Legacy Town Center,Plano,USA
IFAI EXPO 2023,"Industrial Fabrics Association International Expo. IFAI Expo Americas, the largest show in the Americas for the specialty fabrics market, offers the best way to meet a steady stream of specialty fabrics customers and prospects",Public,once a year,ifaiexpo@ifai.com,http://www.ifaiexpo.com/,2023-11-01,3,"Anaheim, CA",Orlando,USA
ACCESS MBA - PANAMA CITY 2023,ACCESS MBA is a communication campaign specifically designed to better inform prospective students of existing MBA opportunities. ACCESS MBA is a series of events organised around the world,Public,unknown,coutat@advent-communication.net,http://www.accessmba.com/events/city/panama,2023-10-17,1,"InterContinental Miramar, Panama",Panama City,Panama
"WASHINGTON, DC CHRO 2023",Human Resource Congress. CHRO (Chief Human Resources Officer) SUMMIT gives the oportunity to share best practices and develop leadership skills that enhance organization's ability to impact the local and global business climate,Public,unknown,info@evanta.com,http://www.evanta.com/calendar,2023-11-01,1,Washington D.C.,Washington D.C.,USA
GETTYSBURG GUNS AND KNIFE SHOW 2023,"Arms and Ammunition fair. GETTYSBURG GUNS AND KNIFE SHOW presents shotguns, handguns, shooting rifles, pistol, antique dagger, samurai swords, ammo, collectible firearms, carbine, fishing and hunting accessories, holsters, cartridges, gun cases & safe",Public,unknown,,http://www.eagleshows.com/,2023-10-07,1,Eisenhower Hotel & Conference Center,Gettysburg,USA
SOUTH-TEC 2023,"Advanced Productivity Exhibition. SOUTH-TEC draws manufacturing suppliers, distributors and equipment builders from across North America and around the world.With some 200 exhibitors you’ll find all the products and services you need",Public,every 2 years,expo@sme.org,http://www.southteconline.com/,2023-10-24,3,"Greenville, SC Convention Center",Greenville,USA
TIMONIUM FAIRGROUNDS GUN SHOW 2023,"Arms & Ammunition Fair. TIMONIUM FAIRGROUNDS GUN SHOW features hunting knife, shooting rifle, rifle spoke, sharpening tool, outdoor equipments, reloading supplies, hunting & fishing gears, flashlight, hunting boots, ear plugs and Camouflage Related item",Public,unknown,AppPromotions@aol.com,http://www.thegunshows.com/,2023-10-07,2,Maryland State Fair (Timonium Fairgrounds),Baltimore,USA
CHATTANOOGA GUNS & KNIFE SHOW 2023,"Arms & Antique Expo: shotguns, handguns, hunting rifle, combat knife, samurai swords, collector firearms, Indian artifacts, muzzle load, laser optics, safety equipment, holsters, gun parts and rifle spoke",Public,unknown,MWXmarketing@aol.com,http://www.greatamericanpromotionsllc.com/,2023-10-28,2,Alhambra Shrine,Chattanooga,USA
SIT - SALON INDUSTRIEL DE TERREBONNE 2023,"Industrial Expo in Terrebonne, QC. The event brings together distributors, suppliers and service companies with the know-how needed for development and growth of businesses in the region",Public,every 2 years,info@promoapageau.com,http://salonsindustriels.com/en,2023-10-18,2,Centre Expo Terrebonne,Terrebonne,Canada
CAMDEN GUNS & KNIFE SHOW 2023,"Arms & Antique Expo: shotguns, handguns, hunting rifle, combat knife, samurai swords, collector firearms, Indian artifacts, muzzle load, laser optics, safety equipment, holsters, gun parts and rifle spoke",Public,unknown,MWXmarketing@aol.com,http://www.greatamericanpromotionsllc.com/,2023-10-21,2,Old Armory Complex,Camden,USA
MD&M MIDWEST 2023,"Medical Design & Manufacturing Exhibition & Conferenc. Medical Design & Manufacturing (MD&M) Chicago provides you everything you need to improve product quality and reliability, shorten time-to-market, reduce costs, and enhance patient safety",Public,once a year,registration.ime@informa.com,http://dm-minn.designnews.com/,2023-11-01,3,Minneapolis Convention Center,Minneapolis,USA
FUNCTIONAL TEXTILES - PORTLAND 2023,FUNCTIONAL TEXTILES PORTLAND is the ideal exhibition for qualified suppliers and decision makers in the functional textiles industry in China to meet in a concentrated and focused atmosphere,Public,once a year,inquiry@functionalfabricfair.com,http://www.performancedays.com/the-fair/fairs-partners/functional-fabric-fair-usa.html,2023-11-01,2,Oregon Convention Center,Portland,USA
APTA EXPO 2023,"APTA EXPO is public transportation's premier showcase of technology, products and services",Public,every 3 years,sales@aptaexpo.com,http://www.aptaexpo.com/,2023-10-09,3,Orange County Convention Center,Orlando,USA
SUMTER GUNS & KNIFE SHOW 2023,"Self-protection weapon Expo. SUMTER GUNS & KNIFE SHOW presents automatic shotguns, shooting rifle, hunting knives, fishing gears, pistols, cartridges, display cases, gun safes, ear plugs, ammo, flashlight, safety gadgets, sharpening tools & laser optics",Public,unknown,MWXmarketing@aol.com,http://www.greatamericanpromotionsllc.com/,2023-10-28,2,American Legion (Sumter Fairgrounds),Sumter,USA
PHILADELPHIA CHRO 2023,Human Resource Congress. CHRO (Chief Human Resources Officer) SUMMIT gives the oportunity to share best practices and develop leadership skills that enhance organization's ability to impact the local and global business climate,Public,unknown,info@evanta.com,http://www.evanta.com/calendar,2023-11-01,1,"Philadelphia, PA",Philadelphia,USA
CENTRAL FLORIDA INTERNATIONAL AUTO SHOW 2023,"Central Florida International Auto Show in Orlando. CENTRAL FLORIDA INTERNATIONAL AUTO SHOW will present a wide selection of manufacturer's new-model vehicles, trucks, SUVS & collection of high-end exotic vehicles from Maserati, Bentley and Rolls-Royce",Public,once a year,lisa.gelb@primedia.com,http://autoshoworlando.com/,2023-11-02,4,Orange County Convention Center,Orlando,USA
ATCA ANNUAL CONFERENCE 2023,"Air Traffic Control Conference. The ATCA Annual Conference will be three days of presentations, seminars, networking opportunities and exhibition with the participation of internationally recognized experts in the ATC/ATM industry",Public,once a year,info@atca.org,http://www.atca.org/annual,2023-11-01,3,Walter E. Washington Convention Center,Washington D.C.,USA
YORK FAIRGROUNDS GUN SHOW 2023,"Arms & Ammunition Fair. YORK FAIRGROUNDS GUN SHOW features hunting knife, shooting rifle, rifle spoke, sharpening tool, outdoor equipments, reloading supplies, hunting & fishing gears, flashlight, hunting boots, ear plugs and Camouflage Related item",Public,unknown,AppPromotions@aol.com,http://www.thegunshows.com/,2023-10-28,2,"Memorial Hall, York",York,USA
HERITAGE GUN SHOW MANSFIELD 2023,"Guns & Knives Expo. HERITAGE GUN SHOW MANSFIELD features shotguns, hunting rifles, rifle spoke, gun parts, custom knives & swords, cartridges, muzzle load, gun magazines, sharpening tool, holsters, gun safes & cases, flashlight and war relics",Public,unknown,heritagearms@gmail.com,http://www.heritagegunshowsohio.com/,2023-10-21,2,Richland County Fair Ohio,Mansfield,USA
LAFAYETTE GUNS & KNIFE SHOW 2023,"Arms & Ammunition Fair. LAFAYETTE GUNS & KNIFE SHOW presents automatic firearms, combat knife & swords, shotguns, antique pistols, cartridges, fishing & hunting accessories, gun cases & safes, bullet proof jacket, ear plugs and flashlights",Public,unknown,cigshows@gmail.com,http://www.centralindianagunshows.com/events,2023-10-21,2,Tippecanoe County Fairgrounds,Lafayette,USA
MIDWEST ARMS COLLECTOR SHOW LAS VEGAS 2023,"Guns & Knives Show. MIDWEST ARMS COLLECTOR SHOW LAS VEGAS features antique pistols, rifles, air gun, combat knives, gun magazines, Indian artifacts, collectibles, hunting & fishing gears, holsters, gun safes, display cases, survival training and gun part",Public,unknown,info@macshows.com,http://macshows.com/nevada,2023-10-14,2,Las Vegas Convention Center,Las Vegas,USA
SPIE OPTIFAB 2023,"America's Premier Event for Optical Fabrication. Optifab, a unique technical focus on classical & advanced optical manufacturing technologies, offers attendees a great opportunity to interact with worldwide experts in the field of optical fabrication",Public,every 2 years,spie@spie.org,http://spie.org/optifab.xml,2023-10-15,5,Rochester Riverside Convention Center,Rochester,USA
